start,stop,name,tier
0.0,0.14,the,words
0.17,0.32,forms,words
0.32,0.38,all,words
0.38,0.48,seem,words
0.59,0.65,to,words
0.84,0.94,be,words
0.97,1.03,in,words
1.03,1.34,order,words
0.0,0.04,DH,phones
0.04,0.14,AH0,phones
0.14,0.17,sp,phones
0.17,0.2,F,phones
0.2,0.23,AO1,phones
0.23,0.26,R,phones
0.26,0.29,M,phones
0.29,0.32,Z,phones
0.32,0.35,AO1,phones
0.35,0.38,L,phones
0.38,0.42,S,phones
0.42,0.45,IY1,phones
0.45,0.48,M,phones
0.48,0.59,sp,phones
0.59,0.62,T,phones
0.62,0.65,IH0,phones
0.65,0.84,sp,phones
0.84,0.91,B,phones
0.91,0.94,IY0,phones
0.94,0.97,sp,phones
0.97,1.0,IH0,phones
1.0,1.03,N,phones
1.03,1.07,AO1,phones
1.07,1.11,R,phones
1.11,1.23,D,phones
1.23,1.34,ER0,phones
1.34,1.38,sp,phones
